asin,price,rating,number_of_reviews,bullet_points,seller_rank
B06XQMRRX5,15,4.5 out of 5 stars,"2,768 ratings", ,"#2,152 in Toys & Games ("
B0B2D8PYDZ,    Currently unavailable.   ,4.9 out of 5 stars,16 ratings, ,"#20,371 in Toys & Games ("
B09NZKSSQX,    Currently unavailable.   ,4.8 out of 5 stars,17 ratings, ,"#142,016 in Toys & Games ("
B07YYFHBPH,    Temporarily out of stock.   ,4.5 out of 5 stars,"1,285 ratings", ,"#6,043 in Toys & Games ("
B07H2FBXZG,10,4.6 out of 5 stars,"6,251 ratings", ,"#4,652 in Toys & Games ("
B07WMB54CC,11,4.7 out of 5 stars,"1,637 ratings", ,"#14,095 in Toys & Games ("
B09FX2WLD5,11,4.8 out of 5 stars,59 ratings, ,"#58,733 in Toys & Games ("
B09J9ZCN1L,    Temporarily out of stock.   ,4.6 out of 5 stars,76 ratings, ,"#14,145 in Toys & Games ("
B07WDCYRVV,5,4.3 out of 5 stars,"1,420 ratings", ,"#7,284 in Toys & Games ("
B092W7D64G,18,4.7 out of 5 stars,"45,158 ratings", ,#49 in Toys & Games (
B092W69J9P,9,4.7 out of 5 stars,691 ratings, ,"#1,082 in Toys & Games ("
B08J16B5H2,11,4.0 out of 5 stars,263 ratings,,
